country,area,ecoregion,realm,site_code,site_name,latitude,longitude,date,depth,visibility,method,block,phylum,class,order,family,species_name,size_class,total
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,1,1,Chordata,Teleostei,Ovalentaria incertae sedis,Pomacentridae,Stegastes variabilis,2.5,13
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,1,1,Chordata,Teleostei,Ovalentaria incertae sedis,Pomacentridae,Stegastes variabilis,5,25
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,1,1,Chordata,Teleostei,Ovalentaria incertae sedis,Pomacentridae,Stegastes variabilis,7.5,1
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,1,1,Chordata,Teleostei,Ovalentaria incertae sedis,Pomacentridae,Stegastes variabilis,10,1
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,1,1,Chordata,Teleostei,Ovalentaria incertae sedis,Pomacentridae,Stegastes variabilis,12.5,2
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,1,1,Chordata,Teleostei,Ovalentaria incertae sedis,Pomacentridae,Stegastes variabilis,15,1
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,1,1,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Halichoeres bivittatus,5,10
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,1,1,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Halichoeres bivittatus,7.5,7
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,1,1,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Halichoeres bivittatus,10,3
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,1,1,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Halichoeres bivittatus,12.5,1
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,1,1,Chordata,Teleostei,Gobiiformes,Gobiidae,Coryphopterus glaucofraenum,2.5,3
