country,area,ecoregion,realm,site_code,site_name,latitude,longitude,date,depth,visibility,method,block,phylum,class,order,family,species_name,size_class,total
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,2,1,Chordata,Teleostei,Gobiiformes,Gobiidae,Coryphopterus personatus,2.5,87
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,2,1,Chordata,Teleostei,Gobiiformes,Gobiidae,Coryphopterus glaucofraenum,2.5,24
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,2,1,Chordata,Teleostei,Gobiiformes,Gobiidae,Coryphopterus glaucofraenum,5,17
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,2,1,Chordata,Teleostei,Ovalentaria incertae sedis,Opistognathidae,Opistognathus whitehursti,5,2
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,2,1,Chordata,Teleostei,Blenniiformes,Blenniidae,Parablennius marmoreus,5,1
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,2,1,Chordata,Teleostei,Eupercaria incertae sedis,Priacanthidae,Gnatholepis thompsoni,2.5,2
United States,Florida,Floridian,Tropical Atlantic,MRQ25-33,Hammie,24.46832,-82.04002,10/14/25,10,3.5,2,1,Chordata,Teleostei,Gobiiformes,Gobiidae,Coryphopterus glaucofraenum,2.5,22
United States,Florida,Floridian,Tropical Atlantic,MRQ25-33,Hammie,24.46832,-82.04002,10/14/25,10,3.5,2,1,Chordata,Teleostei,Gobiiformes,Gobiidae,Coryphopterus glaucofraenum,5,26
United States,Florida,Floridian,Tropical Atlantic,MRQ25-33,Hammie,24.46832,-82.04002,10/14/25,10,3.5,2,1,Chordata,Teleostei,Eupercaria incertae sedis,Priacanthidae,Gnatholepis thompsoni,2.5,4
United States,Florida,Floridian,Tropical Atlantic,MRQ25-33,Hammie,24.46832,-82.04002,10/14/25,10,3.5,2,1,Chordata,Teleostei,Eupercaria incertae sedis,Priacanthidae,Gnatholepis thompsoni,5,5
United States,Florida,Floridian,Tropical Atlantic,MRQ25-33,Hammie,24.46832,-82.04002,10/14/25,10,3.5,2,1,Chordata,Teleostei,Perciformes,Serranidae,Serranus tigrinus,5,1
