country,area,ecoregion,realm,site_code,site_name,latitude,longitude,date,depth,visibility,method,block,phylum,class,order,family,species_name,size_class,total
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,2,1,Arthropoda,Malacostraca,Decapoda,Mithracidae,Mithraculus forceps,2.5,0
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,2,1,Arthropoda,Malacostraca,Decapoda,Mithracidae,Mithraculus forceps,5,0
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,2,1,Arthropoda,Malacostraca,Decapoda,Mithracidae,Mithraculus forceps,7.5,0
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,2,1,Arthropoda,Malacostraca,Decapoda,Mithracidae,Mithraculus forceps,10,0
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,2,1,Arthropoda,Malacostraca,Decapoda,Mithracidae,Mithraculus forceps,12.5,0
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,2,1,Arthropoda,Malacostraca,Decapoda,Mithracidae,Mithraculus forceps,15,0
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,2,1,Arthropoda,Malacostraca,Decapoda,Mithracidae,Mithraculus forceps,20,0
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,2,1,Arthropoda,Malacostraca,Decapoda,Mithracidae,Mithraculus forceps,25,0
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,2,1,Arthropoda,Malacostraca,Decapoda,Mithracidae,Mithraculus forceps,30,0
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,2,1,Arthropoda,Malacostraca,Decapoda,Mithracidae,Mithraculus forceps,35,0
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,2,1,Arthropoda,Malacostraca,Decapoda,Mithracidae,Mithraculus forceps,40,0
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,2,1,Arthropoda,Malacostraca,Decapoda,Mithracidae,Mithraculus forceps,50,0
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,2,1,Arthropoda,Malacostraca,Decapoda,Mithracidae,Mithraculus forceps,62.5,0
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,2,1,Arthropoda,Malacostraca,Decapoda,Mithracidae,Mithraculus forceps,75,0
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,2,1,Arthropoda,Malacostraca,Decapoda,Mithracidae,Mithraculus forceps,87.5,0
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,2,1,Arthropoda,Malacostraca,Decapoda,Mithracidae,Mithraculus forceps,100,0
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,2,1,Arthropoda,Malacostraca,Decapoda,Mithracidae,Mithraculus forceps,112.5,0
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,2,1,Arthropoda,Malacostraca,Decapoda,Mithracidae,Mithraculus forceps,125,0
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,2,1,Arthropoda,Malacostraca,Decapoda,Mithracidae,Mithraculus forceps,137.5,0
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,2,1,Arthropoda,Malacostraca,Decapoda,Mithracidae,Mithraculus forceps,150,0
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,2,1,Arthropoda,Malacostraca,Decapoda,Mithracidae,Mithraculus forceps,162.5,0
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,2,1,Arthropoda,Malacostraca,Decapoda,Mithracidae,Mithraculus forceps,175,0
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,2,1,Arthropoda,Malacostraca,Decapoda,Mithracidae,Mithraculus forceps,187.5,0
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,2,1,Arthropoda,Malacostraca,Decapoda,Mithracidae,Mithraculus forceps,200,0
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,2,1,Arthropoda,Malacostraca,Decapoda,Mithracidae,Mithraculus forceps,250,0
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,2,1,Arthropoda,Malacostraca,Decapoda,Mithracidae,Mithraculus forceps,300,0
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,2,1,Arthropoda,Malacostraca,Decapoda,Mithracidae,Mithraculus forceps,350,0
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,2,1,Arthropoda,Malacostraca,Decapoda,Mithracidae,Mithraculus forceps,400,0
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,2,1,Arthropoda,Malacostraca,Decapoda,Diogenidae,Paguristes tortugae,2.5,0
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,2,1,Arthropoda,Malacostraca,Decapoda,Diogenidae,Paguristes tortugae,5,0
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,2,1,Arthropoda,Malacostraca,Decapoda,Diogenidae,Paguristes tortugae,7.5,0
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,2,1,Arthropoda,Malacostraca,Decapoda,Diogenidae,Paguristes tortugae,10,0
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,2,1,Arthropoda,Malacostraca,Decapoda,Diogenidae,Paguristes tortugae,12.5,0
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,2,1,Arthropoda,Malacostraca,Decapoda,Diogenidae,Paguristes tortugae,15,0
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,2,1,Arthropoda,Malacostraca,Decapoda,Diogenidae,Paguristes tortugae,20,0
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,2,1,Arthropoda,Malacostraca,Decapoda,Diogenidae,Paguristes tortugae,25,0
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,2,1,Arthropoda,Malacostraca,Decapoda,Diogenidae,Paguristes tortugae,30,0
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,2,1,Arthropoda,Malacostraca,Decapoda,Diogenidae,Paguristes tortugae,35,0
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,2,1,Arthropoda,Malacostraca,Decapoda,Diogenidae,Paguristes tortugae,40,0
United States,Florida,Floridian,Tropical Atlantic,MRQ25-109,Half Good,24.48286,-82.03677,10/14/25,10,3.5,2,1,Arthropoda,Malacostraca,Decapoda,Diogenidae,Paguristes tortugae,50,0
