ID,Diver,Buddy,Site.No.,Site.Name,Latitude,Longitude,Date,vis,Direction,Time,P.Qs,Depth,Method,Block,Code,Species,Common.name,Total,Inverts,2.5,5,7.5,10,12.5,15,20,25,30,35,40,50,62.5,75,87.5,100,112.5,125,137.5,150,162.5,175,187.5,200,250,300,350,400
8222,AV,KC,1D1,Bird Key Reef,24.6117,-82.8702,8/6/25,7,NW,8:56,AV,12,1,1,hun,Hypoplectrus unicolor,Butter hamlet,6,0,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
8223,AV,KC,1D1,Bird Key Reef,24.6117,-82.8702,8/6/25,7,NW,8:56,AV,12,1,1,cpe,Coryphopterus personatus,Masked goby,825,0,825,,,,,,,,,,,,,,,,,,,,,,,,,,,
8224,AV,KC,1D1,Bird Key Reef,24.6117,-82.8702,8/6/25,7,NW,8:56,AV,12,1,1,sis,Scarus iseri,Striped parrotfish,67,0,13,32,16,2,3,1,,,,,,,,,,,,,,,,,,,,,,
8225,AV,KC,1D1,Bird Key Reef,24.6117,-82.8702,8/6/25,7,NW,8:56,AV,12,1,1,asa,Abudefduf saxatilis,Sergeant major,4,0,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,
8226,AV,KC,1D1,Bird Key Reef,24.6117,-82.8702,8/6/25,7,NW,8:56,AV,12,1,1,svi,Sparisoma viride,Stoplight parrotfish,6,0,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,
8227,AV,KC,1D1,Bird Key Reef,24.6117,-82.8702,8/6/25,7,NW,8:56,AV,12,1,1,hfl,Haemulon flavolineatum,French grunt,8,0,,,3,1,3,1,,,,,,,,,,,,,,,,,,,,,,
8228,AV,KC,1D1,Bird Key Reef,24.6117,-82.8702,8/6/25,7,NW,8:56,AV,12,1,1,spl,Stegastes planifrons,Threespot damselfish,6,0,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,
8229,AV,KC,1D1,Bird Key Reef,24.6117,-82.8702,8/6/25,7,NW,8:56,AV,12,1,1,tbi,Thalassoma bifasciatum,Bluehead,4,0,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
8230,AV,KC,1D1,Bird Key Reef,24.6117,-82.8702,8/6/25,7,NW,8:56,AV,12,1,1,mtr,Malacoctenus triangulatus,Saddled blenny,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
8231,AV,KC,1D1,Bird Key Reef,24.6117,-82.8702,8/6/25,7,NW,8:56,AV,12,1,1,cpa,Bodianus parrae,"Barracuda waitin boy, creole wrasse",20,0,,,,,,20,,,,,,,,,,,,,,,,,,,,,,
8232,AV,KC,1D1,Bird Key Reef,24.6117,-82.8702,8/6/25,7,NW,8:56,AV,12,1,1,sle,Stegastes leucostictus,Beaugregory,13,0,2,6,4,1,,,,,,,,,,,,,,,,,,,,,,,,
8233,AV,KC,1D1,Bird Key Reef,24.6117,-82.8702,8/6/25,7,NW,8:56,AV,12,1,1,cru,Caranx ruber,Bar jack,4,0,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,
8234,AV,KC,1D1,Bird Key Reef,24.6117,-82.8702,8/6/25,7,NW,8:56,AV,12,1,1,aco,Acanthurus coeruleus,Blue tang surgeonfish,2,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
8235,AV,KC,1D1,Bird Key Reef,24.6117,-82.8702,8/6/25,7,NW,8:56,AV,12,1,1,eoc,Elacatinus oceanops,Neon goby,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
8236,AV,KC,1D1,Bird Key Reef,24.6117,-82.8702,8/6/25,7,NW,8:56,AV,12,1,1,och,Ocyurus chrysurus,Yellowtail snapper,3,0,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,
8237,AV,KC,1D1,Bird Key Reef,24.6117,-82.8702,8/6/25,7,NW,8:56,AV,12,1,1,ccr,Cephalopholis cruentata,Graysby,1,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
8238,AV,KC,1D1,Bird Key Reef,24.6117,-82.8702,8/6/25,7,NW,8:56,AV,12,1,1,lgr,Lutjanus griseus,Grey snapper,3,0,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,
8239,AV,KC,1D1,Bird Key Reef,24.6117,-82.8702,8/6/25,7,NW,8:56,AV,12,1,1,csc,Chromis scotti,Purple reef fish,22,0,15,7,,,,,,,,,,,,,,,,,,,,,,,,,,
8240,AV,KC,1D1,Bird Key Reef,24.6117,-82.8702,8/6/25,7,NW,8:56,AV,12,1,1,had,Holocentrus adscensionis,Squirrelfish,1,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
8241,AV,KC,1D1,Bird Key Reef,24.6117,-82.8702,8/6/25,7,NW,8:56,AV,12,1,1,hga,Halichoeres garnoti,Yellowhead wrasse,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
8242,AV,KC,1D1,Bird Key Reef,24.6117,-82.8702,8/6/25,7,NW,8:56,AV,12,1,1,spl,Stegastes planifrons,Threespot damselfish,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
8243,AV,KC,1D1,Bird Key Reef,24.6117,-82.8702,8/6/25,7,NW,8:56,AV,12,1,1,haemulon,Haemulon spp.,0,20,0,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,
8244,AV,KC,1D1,Bird Key Reef,24.6117,-82.8702,8/6/25,7,NW,8:56,AV,12,1,1,hge,Hypoplectrus gemma,Blue hamlet,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
